question_id,question,comment,date_created,source
1,"Okay gang, I know my wife can't be the only one to suffer constipation from her chemo. What has everyone done to help relieve this.",Miralax as a softener a couple times a day. Milk of Magnesia mixed with prune juice warmed up can be effective within a few hours. An RX from her doctor for Lactulose will certainly get things moving. But its a continuous battle that she will have to stay on top of.,2019-10-07 0:00:00,Facebook
1,"Okay gang, I know my wife can't be the only one to suffer constipation from her chemo. What has everyone done to help relieve this.",Hot oatmeal with dried plums helps my mom. They also have her on colace twice a day.,2019-10-07 0:00:00,Facebook
1,"Okay gang, I know my wife can't be the only one to suffer constipation from her chemo. What has everyone done to help relieve this.","Miralax 3 x a day and 1 senecot twice a day, this is what dr told us to do. Sometimes we give 2 senecot twice a day. Senecot is vegetable base laxative and stool softener so very gentle. This has worked for us she is consistent. If diarrhea starts cut back.",2019-10-07 0:00:00,Facebook
2,What can I buy for very fast relief of constipation please?,Hot prune juice. Make sure its 100% juice and heat it till its about the temp of coffee. Should work within minutes,2019-03-07 0:00:00,Facebook
3,What have u seen work for constipation from chemotherapy?,My mom used senokot-s. Now uses lax a day.,2018-09-16 0:00:00,Facebook
4,My husband is on pain meds for nsc lung cancer. He is having lots of problems with constipation. He is taking Colace & Senna. Any recommendations for more help? He has not gone in a week now.,Magnesium sulfate he can drink it and it will take effect fast any drug store carry’s it,2017-12-13 0:00:00,Facebook
5,What is the Best medicine for constipation after chemo,2 tablespoons of milk of magnesia in 6 ounces of prune juice. It worked very well for my husband.,2017-10-14 0:00:00,Facebook
5,What is the Best medicine for constipation after chemo,Pharmacist recommended something like Senokot...I chose the Walgreens brand. Unfortunately it takes 6-12 hours to work. But is suppose to be really good as a laxative & softer.,2017-10-14 0:00:00,Facebook
6,I have a question been doing radiation for 14 days and chemo 3 days last week so now I am so constipated also on steroids what is good for me to buy for that thanks,Warm prune juice with a pat of butter.,2019-02-23 0:00:00,Facebook
6,I have a question been doing radiation for 14 days and chemo 3 days last week so now I am so constipated also on steroids what is good for me to buy for that thanks,You can try Senna-S . It was recommended for David by his doctors when he went through treatment. It worked well and I know of many of my patients that are in pain management use it too.,2019-02-23 0:00:00,Facebook
7,Has anyone experienced diarrhea from Keytruda? This is my first side effect in a year and half and it’s been working so well.,Call your dr. It’s on the list of symptoms to watch out for. It could mean that your immune system might be attacking your colon so they want to know,2018-03-01 0:00:00,Facebook
8,My mom is on the 21 day schedule for chemo. She goes again the 27th of this month. She has nsclc that has metastasized into the bone. This is her 2nd go round with cancer. My question is...she is having diarrhea that looks like oil or greasy. Did anyone else have this symptom? If so what did you do and what caused it? It is making her sick.,It is likely the chemo causing it. It is hard on the digestive system. I would suggest getting her some Imodium AD. Works well for me.,2019-08-21 0:00:00,Facebook
